precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
ASHFORD DUNWOODY RD,931,176,372,383,0,931,176,372,383,0,833,54,269,510,0,833,54,269,510,0
ASHFORD PARK ELEM,693,112,251,330,0,693,112,251,330,0,674,42,201,431,0,674,42,201,431,0
ASHFORD PARKSIDE,968,132,354,482,0,968,132,354,482,0,760,57,254,449,0,760,57,254,449,0
AUSTIN,707,113,389,205,0,707,113,389,205,0,1033,77,537,419,0,1033,77,537,419,0
BRIARLAKE ELEM,691,156,279,256,0,691,156,279,256,0,443,45,155,243,0,443,45,155,243,0
BRIARWOOD,714,81,423,210,0,714,81,423,210,0,383,16,164,203,0,383,16,164,203,0
BROOKHAVEN,933,122,401,410,0,933,122,401,410,0,746,26,212,508,0,746,26,212,508,0
CHAMBLEE,520,58,271,191,0,520,58,271,191,0,256,9,101,146,0,256,9,101,146,0
CHAMBLEE 2,848,168,351,329,0,848,168,351,329,0,538,43,210,285,0,538,43,210,285,0
CHESNUT ELEM,702,116,294,292,0,702,116,294,292,0,344,31,125,188,0,344,31,125,188,0
CROSS KEYS HIGH,557,106,208,243,0,557,106,208,243,0,330,28,90,212,0,330,28,90,212,0
DORAVILLE NORTH,801,121,252,428,0,801,121,252,428,0,272,27,63,182,0,272,27,63,182,0
DORAVILLE SOUTH,392,63,133,196,0,392,63,133,196,0,151,12,43,96,0,151,12,43,96,0
DRESDEN ELEM,1466,279,590,597,0,1466,279,590,597,0,529,66,189,274,0,529,66,189,274,0
DUNWOODY,825,117,416,292,0,825,117,416,292,0,576,49,292,235,0,576,49,292,235,0
DUNWOODY HIGH,597,134,318,145,0,597,134,318,145,0,747,89,363,295,0,747,89,363,295,0
DUNWOODY LIBRARY,678,137,393,148,0,678,137,393,148,0,1029,95,559,375,0,1029,95,559,375,0
EMBRY HILLS,693,103,285,305,0,693,103,285,305,0,456,44,168,244,0,456,44,168,244,0
EVANSDALE ELEM,958,133,428,397,0,958,133,428,397,0,483,34,211,238,0,483,34,211,238,0
GEORGETOWN SQUARE,883,110,414,359,0,883,110,414,359,0,649,40,268,341,0,649,40,268,341,0
HAWTHORNE ELEM,1200,195,586,419,0,1200,195,586,419,0,482,99,241,142,0,482,99,241,142,0
HENDERSON MILL ELEM,1068,165,530,373,0,1068,165,530,373,0,575,51,281,243,0,575,51,281,243,0
HUNTLEY HILLS ELEM,964,131,381,452,0,964,131,381,452,0,394,24,164,206,0,394,24,164,206,0
KINGSLEY ELEM,643,126,314,203,0,643,126,314,203,0,996,88,464,444,0,996,88,464,444,0
KITTREDGE ELEM,725,161,323,241,0,725,161,323,241,0,648,86,272,290,0,648,86,272,290,0
LAKESIDE HIGH,1242,252,522,468,0,1242,252,522,468,0,769,85,315,369,0,769,85,315,369,0
LIVSEY ELEM,554,63,330,161,0,554,63,330,161,0,411,24,209,178,0,411,24,209,178,0
MIDVALE ELEM,680,103,427,150,0,680,103,427,150,0,649,40,360,249,0,649,40,360,249,0
MIDVALE ROAD,991,117,472,402,0,991,117,472,402,0,524,22,224,278,0,524,22,224,278,0
MONTGOMERY ELEM,751,152,289,310,0,751,152,289,310,0,669,57,253,359,0,669,57,253,359,0
MT. VERNON EAST,671,123,342,206,0,671,123,342,206,0,1024,70,525,429,0,1024,70,525,429,0
MT. VERNON WEST,698,150,364,184,0,698,150,364,184,0,729,60,360,309,0,729,60,360,309,0
NORTH PEACHTREE,516,67,198,251,0,516,67,198,251,0,270,16,91,163,0,270,16,91,163,0
OAKCLIFF ELEM,577,120,170,287,0,577,120,170,287,0,150,16,48,86,0,150,16,48,86,0
PEACHTREE MIDDLE,979,133,407,439,0,979,133,407,439,0,454,34,211,209,0,454,34,211,209,0
PLEASANTDALE ROAD,1024,116,444,464,0,1024,116,444,464,0,221,21,95,105,0,221,21,95,105,0
SILVER LAKE,1150,172,480,498,0,1150,172,480,498,0,988,78,339,571,0,988,78,339,571,0
SKYLAND,558,81,259,218,0,558,81,259,218,0,440,23,148,269,0,440,23,148,269,0
TILLY MILL ROAD,457,95,186,176,0,457,95,186,176,0,549,33,185,331,0,549,33,185,331,0
TUCKER,1041,118,595,328,0,1041,118,595,328,0,753,53,389,311,0,753,53,389,311,0
TUCKER LIBRARY,923,127,532,264,0,923,127,532,264,0,473,39,259,175,0,473,39,259,175,0
WARREN TECH,424,64,128,232,0,424,64,128,232,0,208,18,55,135,0,208,18,55,135,0
WINTERS CHAPEL,454,106,179,169,0,454,106,179,169,0,462,53,151,258,0,462,53,151,258,0
